SALES,Quantity_sold,Cost_of_sales,Month_NAME,Year_NAME,Day_NAME,Average_Unit_Price,Gross_profit,Total_sales,Total_units_sold,Total_cost_sale
110118.1563,3143,108880.4063,Sep,2014,Tuesday,35.03600262,-1237.75,,,
209908.3906,6457,223554.0938,Sep,2014,Wednesday,32.50865582,13645.70313,,,
358365.6875,11039,382967.9688,Sep,2014,Thursday,32.46360064,24602.28125,,,
585464,18036,625980.9375,Sep,2014,Friday,32.46085607,40516.9375,,,
617019.0625,19017,661010.5625,Sep,2014,Saturday,32.44565718,43991.5,,,
283850.5938,8747,304440.6563,Sep,2014,Sunday,32.45119398,20590.0625,,,
264317.125,8147,283912.9688,Sep,2014,Monday,32.44349147,19595.84375,,,
358024.9688,11036,384823.4375,Sep,2014,Tuesday,32.44155208,26798.46875,,,
594438.25,18330,639306.5625,Oct,2014,Wednesday,32.42980087,44868.3125,,,
470507.6563,14503,506072.0313,Oct,2014,Thursday,32.44209172,35564.375,,,
518693.5313,15986,557939.375,Oct,2014,Friday,32.4467366,39245.84375,,,
656245.8125,20223,705891.3125,Oct,2014,Saturday,32.45046791,49645.5,,,
280055.125,8631,301279.6563,Oct,2014,Sunday,32.44758719,21224.53125,,,
375648.0313,11579,404178.9063,Oct,2014,Monday,32.44218251,28530.875,,,
78111.71875,2127,74251.875,Oct,2014,Tuesday,36.72389222,-3859.84375,,,
70509.13281,1923,67141.97656,Oct,2014,Wednesday,36.66621571,-3367.15625,,,
103281.3125,2809,98065.9375,Oct,2014,Thursday,36.76800018,-5215.375,,,
179841.4375,4891,170757.5781,Oct,2014,Friday,36.76987068,-9083.859375,,,
138038.2344,3758,131192.3125,Oct,2014,Saturday,36.73183459,-6845.921875,,,
61037.5625,1661,57992.33984,Oct,2014,Sunday,36.74747893,-3045.222656,,,
86799.75781,2360,82392.33594,Oct,2014,Monday,36.7795584,-4407.421875,,,
69570.5,1894,66313.9375,Oct,2014,Tuesday,36.73204857,-3256.5625,,,
130476.3516,3548,124398.4297,Oct,2014,Wednesday,36.77461994,-6077.921875,,,
95229.77344,2591,91087.85156,Oct,2014,Thursday,36.75406154,-4141.921875,,,
121057.8594,3293,116949.7891,Oct,2014,Friday,36.76218019,-4108.070313,,,
169498.9219,4611,164492.9531,Oct,2014,Saturday,36.75968811,-5005.96875,,,
90692.375,2468,87911.21094,Oct,2014,Sunday,36.74731564,-2781.164063,,,
101723.9141,2773,98870.8125,Oct,2014,Monday,36.68370504,-2853.101563,,,
103395.6875,2815,100424.1563,Oct,2014,Tuesday,36.73026199,-2971.53125,,,
99075.60156,2701,96511.71875,Oct,2014,Wednesday,36.68108166,-2563.882813,,,
97476.14844,2651,94763.84375,Oct,2014,Thursday,36.76957693,-2712.304688,,,
248974.6563,6781,241961.1406,Oct,2014,Friday,36.71651029,-7013.515625,,,
302721.6875,8249,294129.6563,Oct,2014,Saturday,36.69798612,-8592.03125,,,
128520.7266,3502,124739.2344,Oct,2014,Sunday,36.6992366,-3781.492188,,,
145185.2656,3949,140651.9375,Oct,2014,Monday,36.76507106,-4533.328125,,,
89527.55469,2435,87067.05469,Oct,2014,Tuesday,36.76696291,-2460.5,,,
81991.88281,2232,80112.54688,Oct,2014,Wednesday,36.73471452,-1879.335938,,,
69704.49219,1898,68293.09375,Oct,2014,Thursday,36.72523298,-1411.398438,,,
166652.3906,4537,163319.7188,Oct,2014,Friday,36.73184717,-3332.671875,,,
247453.1094,6730,242638.7969,Nov,2014,Saturday,36.7686641,-4814.3125,,,
148476.1875,4038,145646.3438,Nov,2014,Sunday,36.7697344,-2829.84375,,,
205368.9219,5581,201281.2344,Nov,2014,Monday,36.79787169,-4087.6875,,,
99244.67969,2519,90949.44531,Nov,2014,Tuesday,39.3984437,-8295.234375,,,
72756.85938,1847,67872.77344,Nov,2014,Wednesday,39.39191087,-4884.085938,,,
86867.46094,2309,84486.08594,Nov,2014,Thursday,37.6212477,-2381.375,,,
140167.7969,3722,136539.2031,Nov,2014,Friday,37.65926837,-3628.59375,,,
160727.2969,4268,156700.8281,Nov,2014,Saturday,37.65869186,-4026.46875,,,
74115.625,1968,71994.34375,Nov,2014,Sunday,37.66037856,-2121.28125,,,
76103.28906,2016,73967.60938,Nov,2014,Monday,37.74964735,-2135.679688,,,
56303.36719,1497,54996.86719,Nov,2014,Tuesday,37.61079972,-1306.5,,,
49436.81641,1314,48289.89063,Nov,2014,Wednesday,37.62314795,-1146.925781,,,
55033.12109,1466,53997.21875,Nov,2014,Thursday,37.53964604,-1035.902344,,,
149808.1719,3984,146994.8906,Nov,2014,Friday,37.60245278,-2813.28125,,,
180685.5156,4802,176898.2813,Nov,2014,Saturday,37.62713778,-3787.234375,,,
75871.4375,2017,73905.8125,Nov,2014,Sunday,37.6159829,-1965.625,,,
86313.33594,2297,84418.78906,Nov,2014,Monday,37.57655026,-1894.546875,,,
